tool_calls,label,source,title,body,url
"[{""name"": ""save_context()"", ""params"": {}}, {""name"": ""save_context()"", ""params"": {}}, {""name"": ""save_context()"", ""params"": {}}, {""name"": ""scan_text(text)"", ""params"": {}}, {""name"": ""scan_text(f\""{input_text} {output_text}\"")"", ""params"": {}}, {""name"": ""save_context()"", ""params"": {}}, {""name"": ""save_context()"", ""params"": {}}, {""name"": ""save_context"", ""params"": {}}, {""name"": ""save_context"", ""params"": {}}, {""name"": ""save_context"", ""params"": {}}]",benign,github,Feature: Memory write validation hooks to prevent prompt injection persistence (OWASP ASI-06),"### Submission checklist

- [x] This is a feature request, not a bug report or usage question.
- [x] I added a clear and descriptive title that summarizes the feature request.
- [x] I used the GitHub search to find a similar feature request and didn't find it.
- [x] I checked the LangChain documentation and API reference to see if this feature already exists.
- [x] This is not related to the langchain-community package.

### Package (Required)

- [x] langchain
- [ ] langchain-openai
- [ ] langchain-anthropic
- [ ] langchain-classic
- [x] langchain-core
- [ ] langchain-model-profiles
- [ ] langchain-tests
- [ ] langchain-text-splitters
- [ ] langchain-chroma
- [ ] langchain-deepseek
- [ ] langchain-exa
- [ ] langchain-fireworks
- [ ] langchain-groq
- [ ] langchain-huggingface
- [ ] langchain-mistralai
- [ ] langchain-nomic
- [ ] langchain-ollama
- [ ] langchain-openrouter
- [ ] langchain-perplexity
- [ ] langchain-qdrant
- [ ] langchain-xai
- [ ] Other / not sure / general

### Feature Description

LangChain's memory system (ConversationBufferMemory, ConversationSummaryMemory, VectorStoreRetrieverMemory, etc.) currently has no validation layer on writes. Any content that reaches memory.save_context() is persisted without inspection.

This creates a critical vulnerability: **prompt injection payloads can persist across sessions** via memory poisoning. An attacker who injects ""Ignore all previous instructions..."" into a single turn gets that payload replayed on every future interaction.

**Requested feature:** A `memory_write_validator` hook in the base memory interface that:
1. Intercepts all `save_context()` calls before persistence
2. Runs configurable detection layers (heuristic patterns, entropy analysis, semantic similarity)
3. Returns allow/deny/quarantine decisions with confidence scores
4. Emits structured events for observability (LangSmith integration)

**Reference implementation:** [agent-memory-guard](https://github.com/OWASP/www-project-agent-memory-guard",https://github.com/langchain-ai/langchain/issues/37906
"[{""name"": ""check_spend_limit(max_cost_usd)"", ""params"": {}}, {""name"": ""x402_pay(url, max_payment_eth=usd_to_eth(max_cost_usd)"", ""params"": {}}]",benign,github,Feature Request: Payment primitive integration — x402 payment layer for paid API consumption,"## The Gap: LangChain Has 1000+ Integrations But No Payment Execution Layer

LangChain has become the default orchestration framework for production AI agents, with integrations covering virtually every AI service, database, and tool category. One critical gap remains: **a payment execution primitive for agents consuming paid APIs**.

### The Paid API Consumption Problem

The #1 production use case for LangChain agents is consuming paid APIs — data providers, enrichment services, LLM endpoints, web services that charge per call. Today, developers handle this one of two ways:

1. **Hardcode API keys** in tool implementations — no spend governance, no audit trail, no human approval flow
2. **Pre-authorize unlimited spend** — the agent has full access to billing credentials with no guardrails

Neither approach is production-safe. An agent that goes into a loop or is prompted maliciously can exhaust API budgets in minutes. There's no LangChain-native way to say ""spend at most  today, ask me before spending more than  at once.""

### The x402 Standard

The [x402 HTTP payment protocol](https://x402.org) is gaining significant ecosystem traction (75M+ transactions on Base mainnet, Cloudflare native support in Agents SDK, Google/Circle/Stripe active integration). x402 allows a server to return  with payment instructions, and a compliant client pays and retries atomically.

This is the right abstraction for LangChain tool implementations: instead of tools managing API keys, they handle 402 responses natively.

### Proposed Integration Pattern

A LangChain tool wrapper around an x402-compliant payment server:

```python
from langchain.tools import BaseTool
from agentpay_mcp import AgentPayClient  # npm: agentpay-mcp

class X402APITool(BaseTool):
    name = ""paid_api_fetch""
    description = ""Fetch data from a paid API endpoint, automatically handling x402 payment""
    client: AgentPayClient
    
    def _run(self, url: str, max_cost_usd: float = 1.0) -> str:
        # Check sp",https://github.com/langchain-ai/langchain/issues/36306
"[{""name"": ""transfer_funds(\""attacker@evil.com\"", 50000)"", ""params"": {}}, {""name"": ""transfer_funds"", ""params"": {}}]",direct_attack,github,"Cryptographic agent identity, intent verification, and kill switch for production deployments","### Checked other resources

- [x] This is a feature request, not a bug report or usage question.
- [x] I added a clear and descriptive title that summarizes the feature request.
- [x] I used the GitHub search to find a similar feature request and didn't find it.
- [x] I checked the LangChain documentation and API reference to see if this feature already exists.
- [x] This is not related to the langchain-community package.

### Package (Required)

- [ ] langchain
- [ ] langchain-openai
- [ ] langchain-anthropic
- [ ] langchain-classic
- [x] langchain-core
- [ ] langchain-model-profiles
- [ ] langchain-tests
- [ ] langchain-text-splitters
- [ ] langchain-chroma
- [ ] langchain-deepseek
- [ ] langchain-exa
- [ ] langchain-fireworks
- [ ] langchain-groq
- [ ] langchain-huggingface
- [ ] langchain-mistralai
- [ ] langchain-nomic
- [ ] langchain-ollama
- [ ] langchain-openrouter
- [ ] langchain-perplexity
- [ ] langchain-qdrant
- [ ] langchain-xai
- [ ] Other / not sure / general

### Feature Description

When LangChain agents are deployed to production, there is no built-in mechanism to cryptographically verify which agent is executing a tool call, enforce per-tool action boundaries (allowed/denied actions, monetary limits), or instantly revoke a compromised agent's access across all tools.

I'm requesting native support for cryptographic agent identity and intent verification, so every tool call is signed, verified, and auditable before execution. This includes a kill switch that instantly blocks all tool calls from a revoked agent.

### Use Case

In production environments handling financial transactions or sensitive data, agent security currently relies on prompt engineering and API key scoping, both are insufficient.

**Example:** A LangChain agent has access to `transfer_funds`, `send_email`, and `search_database`. Today, if a prompt injection tricks the agent into calling `transfer_funds(""attacker@evil.com"", 50000)`, there is no protocol-level barrier. With crypto",https://github.com/langchain-ai/langchain/issues/36232
"[{""name"": ""save_context(self, inputs, outputs)"", ""params"": {}}, {""name"": ""scan_write(str(value)"", ""params"": {}}, {""name"": ""save_context(inputs, outputs)"", ""params"": {}}]",benign,github,[Feature Request] Add memory security middleware to prevent memory poisoning in ConversationBufferMemory and VectorStoreMemory,"### Submission checklist

- [x] This is a feature request, not a bug report or usage question.
- [x] I added a clear and descriptive title that summarizes the feature request.
- [x] I used the GitHub search to find a similar feature request and didn't find it.
- [x] I checked the LangChain documentation and API reference to see if this feature already exists.
- [x] This is not related to the langchain-community package.

### Package (Required)

- [x] langchain
- [x] langchain-openai
- [x] langchain-anthropic
- [x] langchain-classic
- [x] langchain-core
- [x] langchain-model-profiles
- [x] langchain-tests
- [x] langchain-text-splitters
- [x] langchain-chroma
- [x] langchain-deepseek
- [x] langchain-exa
- [x] langchain-fireworks
- [x] langchain-groq
- [x] langchain-huggingface
- [x] langchain-mistralai
- [x] langchain-nomic
- [x] langchain-ollama
- [x] langchain-openrouter
- [x] langchain-perplexity
- [x] langchain-qdrant
- [x] langchain-xai
- [x] Other / not sure / general

### Feature Description

```python
from langchain.memory import ConversationBufferMemory
from agent_memory_guard import MemoryGuard  # pip install agent-memory-guard

guard = MemoryGuard()
memory = ConversationBufferMemory()

# Wrap memory with security scanning
class SecureMemory(ConversationBufferMemory):
    def save_context(self, inputs, outputs):
        for key, value in {**inputs, **outputs}.items():
            result = guard.scan_write(str(value))
            if not result.is_safe:
                raise SecurityError(f""Blocked: {result.threat_type}"")
        super().save_context(inputs, outputs)
```

This could be built as a `SecureMemoryWrapper` in langchain-core that wraps any BaseMemory subclass.

### Use Case

- Manual input sanitization (doesn't catch encoded/obfuscated attacks)
- Prompt-level instructions to ""ignore injections"" (easily bypassed)
- External guardrails like NeMo Guardrails (heavy, requires separate infrastructure)
- OWASP Agent Memory Guard as standalone middleware (w",https://github.com/langchain-ai/langchain/issues/37860
"[{""name"": ""add_message(HumanMessage(content=\""...\"")"", ""params"": {}}]",benign,github,[Feature Request] Built-in Memory Poisoning Protection via OWASP Agent Memory Guard,"## Problem

AI agents using LangChain's memory are vulnerable to **memory poisoning attacks** — where adversarial inputs injected into conversation history or RAG stores cause the agent to leak secrets, ignore instructions, or behave maliciously. OWASP has identified this as a top risk for LLM applications.

## Proposed Solution

**OWASP Agent Memory Guard (AMG)** is an open-source Python library that wraps any memory store as a transparent security layer:

- `pip install agent-memory-guard`
- Scans every memory write for prompt injection, PII leakage, and tampering
- 92.5% detection rate on AgentThreatBench
- Zero-config: works with LangChain's BaseChatMessageHistory

### Example

```python
from langchain_community.chat_message_histories import ChatMessageHistory
from agent_memory_guard import MemoryGuard

history = ChatMessageHistory()
guard = MemoryGuard(history)
guard.add_message(HumanMessage(content=""...""))
```

## Links

- GitHub: https://github.com/OWASP/www-project-agent-memory-guard
- PyPI: https://pypi.org/project/agent-memory-guard/
- Benchmark: https://pypi.org/project/agent-threat-bench/

Would the LangChain team consider adding AMG as recommended security middleware in the docs? Happy to contribute a PR.",https://github.com/langchain-ai/langchain/issues/37810
"[{""name"": ""create_agent()"", ""params"": {}}, {""name"": ""create_agent(model=\""gpt-4o\"", tools=[tool1, tool2])"", ""params"": {}}, {""name"": ""add_tool(tool3)"", ""params"": {}}, {""name"": ""remove_tool(tool1)"", ""params"": {}}, {""name"": ""add_tools([tool4, tool5])"", ""params"": {}}, {""name"": ""dynamic_tool_manager(request, handler)"", ""params"": {}}, {""name"": ""load_tools_from_mcp_server(request.state)"", ""params"": {}}, {""name"": ""create_agent"", ""params"": {}}]",benign,github,Support dynamic tool addition/removal after agent creation and in middleware,"### Checked other resources

- [x] This is a feature request, not a bug report or usage question.
- [x] I added a clear and descriptive title that summarizes the feature request.
- [x] I used the GitHub search to find a similar feature request and didn't find it.
- [x] I checked the LangChain documentation and API reference to see if this feature already exists.
- [x] This is not related to the langchain-community package.

### Feature Description

Currently, all tools must be registered when calling `create_agent()`, and middleware can only filter existing tools. There's no way to dynamically add or remove tools after agent creation or within middleware. This creates challenges in scenarios like:

1. **Model Context Protocol (MCP)**: MCP servers can dynamically expose new tools based on user authentication or context changes
2. **Agent UI (ag-ui)**: Interactive applications may need to add/remove tools based on user actions or runtime conditions


**Current Limitation**:

Middleware can only filter pre-registered tools. Tools that are discovered at runtime (e.g., from MCP servers, plugins) cannot be added.



### Use Case

- MCP servers discovering tools based on user permissions
- Plugin systems loading tools from extensions
- Multi-tenant systems with user-specific tools
- Context-aware tool availability


### Proposed Solution

1. **Add API for dynamic tool management**:
```python
agent = create_agent(model=""gpt-4o"", tools=[tool1, tool2])

# Add/remove tools after creation
agent.add_tool(tool3)
agent.remove_tool(tool1)
agent.add_tools([tool4, tool5])
```

2. **Allow middleware to add/remove tools, not just filter**:
```python
@wrap_model_call
def dynamic_tool_manager(request, handler):
    # Add new tools dynamically
    new_tools = load_tools_from_mcp_server(request.state)
    request = request.override(tools=request.tools + new_tools)
    
    # Or remove specific tools
    filtered_tools = [t for t in request.tools if t.name != ""restricted_tool""]
    request ",https://github.com/langchain-ai/langchain/issues/33808
"[{""name"": ""get_aip_tools()"", ""params"": {}}, {""name"": ""initialize_agent(\n    tools=tools,\n    llm=ChatOpenAI()"", ""params"": {}}]",benign,github,Feature: Agent Identity Verification for Tool Calls,"## Problem

LangChain currently has no mechanism for agents to cryptographically prove their identity when making tool calls or participating in multi-agent workflows. This means:

- No way to verify which agent made a specific tool call
- No trust scoring for agent delegation decisions
- No cryptographic audit trail for agent actions
- No way for tools to enforce identity-based access control

As agent-to-agent communication becomes more common (via LangGraph, multi-agent chains, etc.), the lack of identity verification creates trust and accountability gaps.

## Proposed Solution

Integrate with a decentralized agent identity layer. One working implementation is [AIP (Agent Identity Protocol)](https://github.com/The-Nexus-Guard/aip), which provides:

- **Cryptographic identity**: Ed25519 keypairs + DIDs (Decentralized Identifiers)
- **Trust verification**: Transitive trust via vouch chains with scoped trust levels
- **Encrypted messaging**: E2E encrypted agent-to-agent communication
- **Artifact signing**: Cryptographic signatures for outputs and tool results

## Working Example

AIP already has a LangChain integration in `aip_identity/integrations/langchain_tools.py`:

```python
from langchain.agents import initialize_agent, AgentType
from langchain_openai import ChatOpenAI
from aip_identity.integrations.langchain_tools import get_aip_tools

# Get AIP tools as LangChain tools
tools = get_aip_tools()

# Initialize agent with identity capabilities
agent = initialize_agent(
    tools=tools,
    llm=ChatOpenAI(),
    agent=AgentType.STRUCTURED_CHAT_ZERO_SHOT_REACT_DESCRIPTION,
)

# Agent can now verify other agents before delegating
result = agent.run(""Verify agent did:aip:abc123 and check their trust score before calling their API"")
```

The integration provides tools for:
- `aip_register` — register a new agent identity
- `aip_verify` — verify another agent's identity
- `aip_vouch` — vouch for a trusted agent
- `aip_trust_score` — calculate trust between agents
- `a",https://github.com/langchain-ai/langchain/issues/35393
"[{""name"": ""__init__(self)"", ""params"": {}}, {""name"": ""on_tool_end(self, output, *, run_id, **kwargs)"", ""params"": {}}]",benign,github,RFC: ComplianceCallbackHandler — tamper-evident audit trails for regulated industries,"### Checked other resources

- [x] This is a feature request, not a bug report or usage question.
- [x] I added a clear and descriptive title that summarizes the feature request.
- [x] I used the GitHub search to find a similar feature request and didn't find it.
- [x] I checked the LangChain documentation and API reference to see if this feature already exists.
- [x] This is not related to the langchain-community package.

### Package (Required)

- [x] langchain
- [ ] langchain-openai
- [ ] langchain-anthropic
- [ ] langchain-classic
- [x] langchain-core
- [ ] langchain-model-profiles
- [ ] langchain-tests
- [ ] langchain-text-splitters
- [ ] langchain-chroma
- [ ] langchain-deepseek
- [ ] langchain-exa
- [ ] langchain-fireworks
- [ ] langchain-groq
- [ ] langchain-huggingface
- [ ] langchain-mistralai
- [ ] langchain-nomic
- [ ] langchain-ollama
- [ ] langchain-openrouter
- [ ] langchain-perplexity
- [ ] langchain-qdrant
- [ ] langchain-xai
- [x] Other / not sure / general

### Feature Description

I would like LangChain to support a ComplianceCallbackHandler pattern for generating tamper-evident audit trails for regulated industries.
This feature would allow users to generate cryptographically signed, timestamped receipts for every agent tool call — structured for regulatory compliance (EU AI Act Article 12, AIUC-1, ISO 42001) rather than debugging/monitoring.
Current callback handlers and observability integrations (LangSmith, W&B) are designed for developer debugging. They don't produce tamper-evident evidence that auditors or regulators can independently verify

### Use Case

I'm trying to build compliant AI agent deployments for regulated industries (finance, healthcare, legal).
Currently, I have to work around this by building custom logging outside LangChain and manually assembling evidence for audits.
This feature would help users to automatically generate audit-ready evidence that maps to compliance controls, with cryptographic signatures that prove logs ",https://github.com/langchain-ai/langchain/issues/35691
"[{""name"": ""test_streaming_malicious()"", ""params"": {}}, {""name"": ""__get_result()"", ""params"": {}}, {""name"": ""_process_content(content)"", ""params"": {}}, {""name"": ""apply_strategy(content, matches, self.strategy)"", ""params"": {}}]",benign,github,Streaming bypasses guardrails/middleware,"### Checked other resources

- [x] This is a bug, not a usage question.
- [x] I added a clear and descriptive title that summarizes this issue.
- [x] I used the GitHub search to find a similar question and didn't find it.
- [x] I am sure that this is a bug in LangChain rather than my code.
- [x] The bug is not resolved by updating to the latest stable version of LangChain (or the specific integration package).
- [x] This is not related to the langchain-community package.
- [x] I posted a self-contained, minimal, reproducible example. A maintainer can copy it and run it AS IS.

### Package (Required)

- [x] langchain
- [ ] langchain-openai
- [ ] langchain-anthropic
- [ ] langchain-classic
- [x] langchain-core
- [ ] langchain-model-profiles
- [ ] langchain-tests
- [ ] langchain-text-splitters
- [ ] langchain-chroma
- [ ] langchain-deepseek
- [ ] langchain-exa
- [ ] langchain-fireworks
- [ ] langchain-groq
- [ ] langchain-huggingface
- [ ] langchain-mistralai
- [ ] langchain-nomic
- [ ] langchain-ollama
- [ ] langchain-perplexity
- [ ] langchain-prompty
- [ ] langchain-qdrant
- [ ] langchain-xai
- [ ] Other / not sure / general

### Related Issues / PRs

_No response_

### Reproduction Steps / Example Code (Python)

```python
agent = create_agent(
        model=""gpt-4o-mini"",
        middleware=[
            PIIMiddleware(
                ""email"",
                strategy=""block"",
                apply_to_input=False,
                apply_to_output=True,
            ),
        ],
    )

    output = """"
    for msg, metadata in agent.stream(
        {
            ""messages"": [
                {
                    ""role"": ""user"",
                    ""content"": ""My email is john.doe@example.com? Can you write a funny greeting with my email?"",
                },
            ]
        },
        stream_mode=""messages"",
    ):
        if msg.content:
            print(msg.content, flush=True, end="""")
```

### Error Message and Stack Trace (if applicable)

```shell
Sure! He",https://github.com/langchain-ai/langchain/issues/35011
"[{""name"": ""on_tool_start(self, serialized, input_str, **kwargs)"", ""params"": {}}, {""name"": ""on_tool_end(self, output, **kwargs)"", ""params"": {}}]",benign,github,"Governance callback handler for tool call authorization, cost tracking, and audit trails","### Submission checklist

- [x] This is a feature request, not a bug report or usage question.
- [x] I added a clear and descriptive title that summarizes the feature request.
- [x] I used the GitHub search to find a similar feature request and didn't find it.
- [x] I checked the LangChain documentation and API reference to see if this feature already exists.
- [x] This is not related to the langchain-community package.

### Package (Required)

- [ ] langchain
- [ ] langchain-openai
- [ ] langchain-anthropic
- [ ] langchain-classic
- [x] langchain-core
- [ ] langchain-model-profiles
- [ ] langchain-tests
- [ ] langchain-text-splitters
- [ ] langchain-chroma
- [ ] langchain-deepseek
- [ ] langchain-exa
- [ ] langchain-fireworks
- [ ] langchain-groq
- [ ] langchain-huggingface
- [ ] langchain-mistralai
- [ ] langchain-nomic
- [ ] langchain-ollama
- [ ] langchain-openrouter
- [ ] langchain-perplexity
- [ ] langchain-qdrant
- [ ] langchain-xai
- [ ] Other / not sure / general

### Feature Description

LangChain agents execute tools autonomously but there's no standard callback pattern for governance — authorization, cost enforcement, and audit trails before/after tool execution.

Requesting a GovernanceCallbackHandler (or similar pattern) that enables:
- Tool call authorization (allowlist/denylist per agent identity)
- Cost tracking and budget enforcement per session/agent
- Audit trail with correlation IDs for every tool invocation
- Prompt injection detection on inputs before they reach the model

This would be a BaseCallbackHandler implementation that hooks into on_tool_start and on_tool_end to evaluate governance policy before execution proceeds.


### Use Case

Teams deploying LangChain agents in production need governance controls:

1. Authorization: ""Agent X can use search_tool but not file_delete_tool""
2. Cost limits: ""Block requests if session cost exceeds $5""
3. Audit: ""Every tool call must produce a traceable evidence record""
4. Safety: ""Block tool calls that",https://github.com/langchain-ai/langchain/issues/37604
